code,name,exchange,currency_symbol
MOIN,Mohandes Insurance,EGX,EGP
MOSC,Misr Oils & Soap,EGX,EGP
MPCI,Memphis Pharmaceuticals,EGX,EGP
MPCO,Mansourah Poultry,EGX,EGP
MPRC,Egyptian Media Production City,EGX,EGP
MRCO,Misr Conditioning (Miraco),EGX,EGP
MTIE,MM Group For Industry And International Trade,EGX,EGP
NAHO,Naeem Holding,EGX,EGP
NAPR,National Printing,EGX,EGP
NARE,Naeem Real Estate Holding Group,EGX,EGP
NASR,El Nasr Transformers (El Maco),EGX,EGP
NBKE,National Bank Of Kuwait- Egypt- NBK,EGX,EGP
NCCW,Nasr Company for Civil Works,EGX,EGP
NCEM,National Cement,EGX,EGP
NCGC,Nile Cotton Ginning,EGX,EGP
NCIN,Nile City Investment,EGX,EGP
NCMP,National company for maize products,EGX,EGP
NDRL,National Drilling,EGX,EGP
NEDA,Northern Upper Egypt Development & Agricultural Production,EGX,EGP
NHPS,National Housing for Professional Syndicates,EGX,EGP
NINH,Nozha International Hospital,EGX,EGP
NIPH,El-Nile Co. For Pharmaceuticals And Chemical Industries,EGX,EGP
NOAF,North Africa Co. for Real Estate Investment,EGX,EGP
NULL,Heibco for commercial investments & real estate development,EGX,EGP
OBRI,El Obour Real Estate Investment,EGX,EGP
OCDI,Six of October Development & Investment (SODIC),EGX,EGP
OCPH,October Pharma,EGX,EGP
ODHN,Orascom Development Holding (AG),EGX,EGP
ODID,Odin for Investment & Development,EGX,EGP
ODIN,ODIN Investments,EGX,EGP
OFH,O B Financial Holding,EGX,EGP
OIH,Orascom Investment Holding SAE,EGX,EGP
OLFI,Obour Land For Food Industries,EGX,EGP
ORAS,Orascom Construction PLC,EGX,EGP
OREG,Orange Egypt For Telecommunications,EGX,EGP
ORHD,Orascom Development Egypt,EGX,EGP
ORMT,Orascom Investment Holding,EGX,EGP
ORWE,Oriental Weavers,EGX,EGP
PACH,Paint & Chemicals Industries (Pachin),EGX,EGP
PHAR,Egyptian International Pharmaceuticals (EIPICO),EGX,EGP
PHDC,Palm Hills Development Company,EGX,EGP
PHGC,Premium HealthCare Group,EGX,EGP
PHTV,Pyramisa Hotels,EGX,EGP
PIOH,Pioneers Holding,EGX,EGP
POUL,Cairo Poultry,EGX,EGP
PRCL,Ceramic & Porcelain,EGX,EGP
PRDC,Pioneers Properties For Urban Development - (PRE Group),EGX,EGP
PRMH,Prime Holding,EGX,EGP
QNBA,Qatar National Bank,EGX,EGP
QNBE,Qatar Natl Bank,EGX,EGP
RACC,Raya Customer Experience,EGX,EGP
RAKT,Rakta Paper Manufacturing,EGX,EGP
RAYA,Raya Holding For Financial Investments,EGX,EGP
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,EGX,EGP
RMTV,Rowad Misr Tourism Investment,EGX,EGP
ROTO,Rowad Tourism (Al Rowad),EGX,EGP
RREI,Arab Real Estate Investment CO.-ALICO,EGX,EGP
RTVC,Remco for Touristic Villages Construction,EGX,EGP
RUBX,Rubex International for Plastic and Acrylic Manufacturing,EGX,EGP
SAIB,Societe Arabe Internationale De Banque S.A.E,EGX,EGP
SAUD,Al Baraka Bank Egypt,EGX,EGP
SBAG,Suez Bags,EGX,EGP
SCEM,Sinai Cement,EGX,EGP
SCFM,South Cairo & Giza Mills & Bakeries,EGX,EGP
SCTS,Sues Canal Company For Technology Settling,EGX,EGP
SDTI,Sharm Dreams Co. for Tourism Investment,EGX,EGP
SEIG,Saudi Egyptian Investment & Finance,EGX,EGP
SEIGA,Saudi Egyptian Investment & Finance $,EGX,EGP
SIMO,Paper Middle East (Simo),EGX,EGP
SIPC,Sabaa International Company for Pharmaceutical and Chemical,EGX,EGP
SKPC,Sidi Kerir Petrochemicals - SIDPEC,EGX,EGP
SMCS,Samcrete Misr,EGX,EGP
SMCSA,Samcrete Misr Preferred Shares,EGX,EGP
SMFR,Samad Misr -EGYFERT,EGX,EGP
SMPP,Modern Shorouk Printing & Packaging,EGX,EGP
SNFC,Sharkia National Food,EGX,EGP
SPHT,El Shams Pyramids For Hotels& Touristic Projects,EGX,EGP
SPIN,Alexandria Spinning & Weaving (SPINALEX),EGX,EGP
SPMD,Speed Medical,EGX,EGP
SRWA,Sarwa Capital Holding,EGX,EGP
SUCE,Suez Cement,EGX,EGP
SUGR,Delta Sugar,EGX,EGP
SVCE,South Valley Cement,EGX,EGP
SWDY,ELSWEDY ELECTRIC,EGX,EGP
TALM,Taaleem Management Services,EGX,EGP
TANM,Tanmiya for Real Estate Investment,EGX,EGP
